artist,track_name,mbid
Travis Scott,goosebumps,7b8f5668-4da1-435e-a92e-b1cafc35f726
Travis Scott,FE!N (feat. Playboi Carti),f49672e8-6eac-4a72-9584-0cd7ae8f3cfc
Travis Scott,HIGHEST IN THE ROOM,1ac7b5b2-ede9-43a7-a01d-3d71b32a768d
Travis Scott,Trance (with Travis Scott & Young Thug),ea0ae789-44db-47ed-bbf7-97657e5e877b
Travis Scott,SICKO MODE,73784600-a665-4a6c-9687-187dbefc556d
Travis Scott,BUTTERFLY EFFECT,597ed10e-15e1-4895-8465-a46e4b2fa9ed
Travis Scott,90210 (feat. Kacy Hill),92155ba2-b134-4f38-b964-1d80eb1bd75e
Travis Scott,Open Arms (feat. Travis Scott),0a1d4a69-14ce-43aa-b112-5d075b5894e7
Travis Scott,MY EYES,10615e42-e1ca-4d54-91ff-e81a50cd6e8d
Travis Scott,Type Shit,f5d38480-18ef-4916-9ad2-26c54b414f60
